------Generation 0------
Rule 79: e1241, Class:  1, CF:0.912115, Len:  5, Fitness_tra: 0
Rule 80: d112b, Class:  1, CF:0.971222, Len:  5, Fitness_tra: 5
Rule 81: 34144, Class:  0, CF:0.228978, Len:  5, Fitness_tra: 0
Rule 82: 15412, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 83: 3412b, Class:  0, CF:0.228978, Len:  5, Fitness_tra: 0
Rule 84: 18412, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 85: 35272, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 86: 15c74, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 87: d8211, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 88: 35271, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 89: 12771, Class:  0, CF:0.320527, Len:  5, Fitness_tra: 0
Rule 90: 51277, Class:  1, CF:0.941332, Len:  5, Fitness_tra: 0
Rule 91: 19842, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 92: 352bb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 93: 9c11b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 94: 32211, Class:  0, CF:0.994635, Len:  5, Fitness_tra: 12
Rule 95: 32141, Class:  0, CF:0.92299, Len:  5, Fitness_tra: 0
Rule 96: 95117, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 97: 17422, Class:  1, CF:0.883999, Len:  5, Fitness_tra: 0
Rule 98: e2112, Class:  1, CF:0.60345, Len:  5, Fitness_tra: 0
Rule 99: 91711, Class:  1, CF:0.328772, Len:  5, Fitness_tra: 0
Rule100: e4451, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:43.1138
------Result------
Miss_rate(tra)	:43.1138
Miss_rate(tst)	:4.7619
ARL				:4.84211

------Generation 0------
Rule  1: 17411, Class:  0, CF:0.72482, Len:  5, Fitness_tra: 33
Rule  2: 51117, Class:  1, CF:0.772995, Len:  5, Fitness_tra: 34
Rule  3: 21147, Class:  1, CF:0.964239, Len:  5, Fitness_tra: 29
Rule  4: d8711, Class:  0, CF:  1, Len:  5, Fitness_tra: 8
Rule  5: 11115, Class:  1, CF:  1, Len:  5, Fitness_tra: 1
Rule  6: 91111, Class:  1, CF:0.720942, Len:  5, Fitness_tra: 29
Rule  7: 511b7, Class:  1, CF:0.969152, Len:  5, Fitness_tra: 20
Rule  8: 32211, Class:  0, CF:0.994635, Len:  5, Fitness_tra: 8
Rule  9: 111b7, Class:  1, CF:0.892587, Len:  5, Fitness_tra: 11
Rule 10: 32b11, Class:  0, CF:0.958974, Len:  5, Fitness_tra: 2
