------Generation 0------
Rule 74: b2242e4421, Class:  2, CF:0.403908, Len: 10, Fitness_tra: 0
Rule 75: 7518aab777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b4b21abb41, Class:  4, CF:0.996313, Len: 10, Fitness_tra: 0
Rule 77: 1412891217, Class:  2, CF:0.157447, Len: 10, Fitness_tra: -301
Rule 78: 734d3341b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b1b1b5b722, Class:  2, CF:0.879636, Len: 10, Fitness_tra: 68
Rule 80: 1b42667242, Class:  4, CF:0.99974, Len: 10, Fitness_tra: 0
Rule 81: 2111757bb7, Class:  2, CF:0.850876, Len: 10, Fitness_tra: -1
Rule 82: 216278b122, Class:  2, CF:0.616529, Len: 10, Fitness_tra: -1
Rule 83: 1717d3bbb2, Class:  2, CF:0.982862, Len: 10, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2772191772, Class:  2, CF:0.973957, Len: 10, Fitness_tra: -1
Rule 86: 81147214c1, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 87: 12112cb712, Class:  2, CF:0.596676, Len: 10, Fitness_tra: -418
Rule 88: b21b4c7b4b, Class:  2, CF:0.184998, Len: 10, Fitness_tra: 0
Rule 89: 2c7b8e71b1, Class:  1, CF:0.700144, Len: 10, Fitness_tra: 0
Rule 90: 4411164422, Class:  4, CF:0.999646, Len: 10, Fitness_tra: 50
Rule 91: 7bb4a622b1, Class:  4, CF:0.994213, Len: 10, Fitness_tra: 0
Rule 92: 2d421c7112, Class:  2, CF:0.52844, Len: 10, Fitness_tra: 0
Rule 93: 2472ef1224, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: 7474c31224, Class:  2, CF:0.996902, Len: 10, Fitness_tra: 23
Rule 95: 14721cb117, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 24b713b44b, Class:  4, CF:0.440682, Len: 10, Fitness_tra: 0
Rule 97: 771293b244, Class:  2, CF:0.999975, Len: 10, Fitness_tra: 0
Rule 98: b4b4217b7b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2177111221, Class:  2, CF:0.519822, Len: 10, Fitness_tra: 61
Rule100: 7121122142, Class:  2, CF:0.632488, Len: 10, Fitness_tra: -96
------Current------
Miss_rate(tra)	:99.7964
------Result------
Miss_rate(tra)	:99.7964
Miss_rate(tst)	:98.6301
ARL				:10

------Generation 0------
Rule  1: 11b4af1bbb, Class:  4, CF:0.999431, Len: 10, Fitness_tra: 61
Rule  2: 142131777b, Class:  4, CF:0.727749, Len: 10, Fitness_tra: -393
Rule  3: 44b12e7221, Class:  2, CF:0.998007, Len: 10, Fitness_tra: 198
Rule  4: 4717131447, Class:  4, CF:0.492432, Len: 10, Fitness_tra: -12
Rule  5: 4941214458, Class:  2, CF:  1, Len: 10, Fitness_tra: 74
Rule  6: b1b1b5b722, Class:  2, CF:0.879636, Len: 10, Fitness_tra: 109
Rule  7: 2177111221, Class:  2, CF:0.519822, Len: 10, Fitness_tra: -82
Rule  8: 7b772517b1, Class:  2, CF:0.969439, Len: 10, Fitness_tra: 1717
Rule  9: 4411164422, Class:  4, CF:0.999646, Len: 10, Fitness_tra: 109
Rule 10: 1e42834111, Class:  1, CF:0.9939, Len: 10, Fitness_tra: 41
Rule 11: 11175118d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 26
Rule 12: 7474c31224, Class:  2, CF:0.996902, Len: 10, Fitness_tra: 28
Rule 13: 18b25d171b, Class:  1, CF:0.686993, Len: 10, Fitness_tra: 297
Rule 14: 1bbb19144b, Class:  2, CF:0.977108, Len: 10, Fitness_tra: -1137
Rule 15: 77211f7122, Class:  4, CF:0.999734, Len: 10, Fitness_tra: 15
Rule 16: 1541c34c21, Class:  2, CF:  1, Len: 10, Fitness_tra: 19
Rule 17: 7521517111, Class:  1, CF:0.685969, Len: 10, Fitness_tra: 38
Rule 18: 8117421121, Class:  3, CF:0.0464416, Len: 10, Fitness_tra: 18
Rule 19: 72443abbb1, Class:  4, CF:0.99945, Len: 10, Fitness_tra: 4
Rule 20: 2817131c14, Class:  4, CF:0.279332, Len: 10, Fitness_tra: 4
Rule 21: 244211b117, Class:  4, CF:0.47359, Len: 10, Fitness_tra: -44
Rule 22: 2247dd271b, Class:  1, CF:0.393795, Len: 10, Fitness_tra: 1
Rule 23: 722183b22b, Class:  2, CF:0.996793, Len: 10, Fitness_tra: 1
Rule 24: b14221bb12, Class:  2, CF:0.375316, Len: 10, Fitness_tra: -2
Rule 25: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 18b7127227, Class:  2, CF:0.483304, Len: 10, Fitness_tra: -10
Rule 27: 7724531b22, Class:  2, CF:0.999924, Len: 10, Fitness_tra: 0
Rule 28: 27224c2bb7, Class:  2, CF:0.753331, Len: 10, Fitness_tra: 0
