------Generation 0------
Rule 74: b17b1e1121, Class:  1, CF:0.380792, Len: 10, Fitness_tra: 0
Rule 75: bb17e9b4b4, Class:  1, CF:0.670264, Len: 10, Fitness_tra: 0
Rule 76: 7bb2421147, Class:  1, CF:0.900092, Len: 10, Fitness_tra: 0
Rule 77: 1177814221, Class:  1, CF:0.866844, Len: 10, Fitness_tra: 0
Rule 78: 72b726b2b1, Class:  1, CF:0.999489, Len: 10, Fitness_tra: 0
Rule 79: 744b857b27, Class:  1, CF:0.679181, Len: 10, Fitness_tra: 0
Rule 80: 212415117c, Class:  1, CF:0.852818, Len: 10, Fitness_tra: 0
Rule 81: 7221314bb1, Class:  1, CF:0.987267, Len: 10, Fitness_tra: 0
Rule 82: 4c728eb4bb, Class:  1, CF:0.643384, Len: 10, Fitness_tra: 0
Rule 83: 7142ff2b22, Class:  1, CF:0.999994, Len: 10, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 71b7fa7421, Class:  1, CF:0.99931, Len: 10, Fitness_tra: 0
Rule 86: 1c212eb2b1, Class:  1, CF:0.588211, Len: 10, Fitness_tra: 0
Rule 87: 1314412211, Class:  1, CF:0.941016, Len: 10, Fitness_tra: 0
Rule 88: 71bb1a1b47, Class:  1, CF:0.99852, Len: 10, Fitness_tra: 0
Rule 89: 2412111174, Class:  1, CF:0.642168, Len: 10, Fitness_tra: 0
Rule 90: 17b4f64241, Class:  1, CF:0.999333, Len: 10, Fitness_tra: 0
Rule 91: 11121114b2, Class:  1, CF:0.491712, Len: 10, Fitness_tra: 0
Rule 92: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2111d52b22, Class:  1, CF:0.771337, Len: 10, Fitness_tra: 0
Rule 94: b21721111b, Class:  0, CF:0.100746, Len: 10, Fitness_tra: 0
Rule 95: 75b1611274, Class:  1, CF:0.979609, Len: 10, Fitness_tra: 0
Rule 96: 7742a1b7b4, Class:  1, CF:0.999112, Len: 10, Fitness_tra: 0
Rule 97: 7441111772, Class:  1, CF:0.974831, Len: 10, Fitness_tra: 5
Rule 98: b77b56b112, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: b17453474b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 11442f2111, Class:  1, CF:0.984485, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:23.4848
------Result------
Miss_rate(tra)	:23.4848
Miss_rate(tst)	:6.94698
ARL				:8.58763

------Generation 0------
Rule  1: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7622821224, Class:  1, CF:0.998818, Len: 10, Fitness_tra: 0
