------Generation 0------
Rule 78: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00000004, Class:  0, CF:0.0600683, Len:  1, Fitness_tra: 0
Rule 80: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 111121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 82: 81112755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 59521298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00050000, Class:  0, CF:0.996394, Len:  1, Fitness_tra: 9
Rule 86: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 15211b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: c21c179c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 90: 00c00000, Class:  0, CF:0.0759683, Len:  1, Fitness_tra: 50
Rule 91: 181721ec, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 92: 82124291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: d0000000, Class:  1, CF:0.182519, Len:  1, Fitness_tra: 193
Rule 94: 1511f191, Class:  1, CF:0.340749, Len:  8, Fitness_tra: 0
Rule 95: 221cbb5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: d25214e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 00080000, Class:  0, CF:0.816205, Len:  1, Fitness_tra: 57
Rule 98: 00000050, Class:  1, CF:0.0927567, Len:  1, Fitness_tra: 269
Rule 99: 31857431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 9d28b131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:44.9159
------Result------
Miss_rate(tra)	:44.9159
Miss_rate(tst)	:33.557
ARL				:1.7551

------Generation 0------
Rule  1: 00000050, Class:  1, CF:0.0927567, Len:  1, Fitness_tra: 278
Rule  2: 000c0000, Class:  0, CF:0.614833, Len:  1, Fitness_tra: 246
Rule  3: d0000000, Class:  1, CF:0.182519, Len:  1, Fitness_tra: 190
Rule  4: 00080000, Class:  0, CF:0.816205, Len:  1, Fitness_tra: 57
Rule  5: 00000004, Class:  0, CF:0.0600683, Len:  1, Fitness_tra: 52
Rule  6: 00c00000, Class:  0, CF:0.0759683, Len:  1, Fitness_tra: -29
Rule  7: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 35
Rule  8: 00050000, Class:  0, CF:0.996394, Len:  1, Fitness_tra: 9
Rule  9: 00000060, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule 10: 00070000, Class:  0, CF:0.0354045, Len:  1, Fitness_tra: 2
Rule 11: 1511b4e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 2cd44712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: dd17b23c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11d82191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 16: dc57b1e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 5141249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: c2127b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11124b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 818c1218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3151b7e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 91411114, Class:  0, CF:0.381157, Len:  8, Fitness_tra: 0
Rule 24: 111c4218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 212741ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0ec00060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2c5c71e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 858221e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: c2254491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 21dcb798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1c54411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 58d8bb51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
